Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0D9W1D3_9ORYZ	A0A0D9W1D3_9ORYZ	372	AvrRpt-cleavage	-	37	7.8e-27	103.7	7.5	1	3	0.0001	11	16.8708324432373	0.06	7	35	6	33	2	34	0.89	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D3_9ORYZ	A0A0D9W1D3_9ORYZ	372	AvrRpt-cleavage	-	37	7.8e-27	103.7	7.5	2	3	7.7e-22	8.0e-17	71.6745681762695	1.19	1	37	133	169	133	169	0.98	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D3_9ORYZ	A0A0D9W1D3_9ORYZ	372	AvrRpt-cleavage	-	37	7.8e-27	103.7	7.5	3	3	0.00011	11	16.8266582489014	0.07	7	35	199	226	195	227	0.89	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D5_9ORYZ	A0A0D9W1D5_9ORYZ	371	AvrRpt-cleavage	-	37	8.6e-27	103.6	7.5	1	3	0.00011	12	16.7381572723389	0.07	7	35	5	32	2	33	0.89	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D5_9ORYZ	A0A0D9W1D5_9ORYZ	371	AvrRpt-cleavage	-	37	8.6e-27	103.6	7.5	2	3	7.7e-22	8.0e-17	71.6796264648438	1.19	1	37	132	168	132	168	0.98	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D5_9ORYZ	A0A0D9W1D5_9ORYZ	371	AvrRpt-cleavage	-	37	8.6e-27	103.6	7.5	3	3	0.00011	11	16.8314876556396	0.07	7	35	198	225	194	226	0.89	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D4_9ORYZ	A0A0D9W1D4_9ORYZ	382	AvrRpt-cleavage	-	37	1.0e-26	103.3	7.8	1	3	0.00011	11	16.8034706115723	0.08	7	35	16	43	12	44	0.89	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D4_9ORYZ	A0A0D9W1D4_9ORYZ	382	AvrRpt-cleavage	-	37	1.0e-26	103.3	7.8	2	3	8.0e-22	8.3e-17	71.6252212524414	1.19	1	37	143	179	143	179	0.98	AvrRpt-cleavage domain-containing protein		0
A0A0D9W1D4_9ORYZ	A0A0D9W1D4_9ORYZ	382	AvrRpt-cleavage	-	37	1.0e-26	103.3	7.8	3	3	0.00011	12	16.7791500091553	0.07	7	35	209	236	205	237	0.89	AvrRpt-cleavage domain-containing protein		0
I1I8T9_BRADI	I1I8T9_BRADI	242	AvrRpt-cleavage	-	37	3.0e-25	98.6	5.3	1	2	3.0e-06	0.31	21.7832508087158	0.62	2	35	7	37	6	38	0.86	Uncharacterized protein		0
